Name,Clan Name,Surname,Gender
Akhil,Gautam,Gupta,Male
Anand,Vasistha,Joshi,Male
Dinesh,Kuru,Sharma,Male
Ganesh,Bharadwaja,Patel,Male
Hitesh,Angirasa,Chopra,Male
Kiran,Kashyap,Verma,Male
Manish,Kuru,Shukla,Male
Naveen,Gautam,Chaudhary,Male
Pradeep,Kuru,Agrawal,Male
Rajendra,Bharadwaja,Sharma,Male
Sanjay,Vasistha,Singh,Male
Satish,Gautam,Mishra,Male
Vijay,Kashyap,Yadav,Male
Vishal,Kuru,Sharma,Male
Anjali,Kuru,Patel,Female
Ashwini,Bharadwaja,Kaur,Female
Deeksha,Vasistha,Sharma,Female
Geeta,Gautam,Gupta,Female
Kavita,Kashyap,Verma,Female
Manisha,Angirasa,Singh,Female
Neeta,Kuru,Choudhary,Female
Pooja,Bharadwaja,Mishra,Female
Rashmi,Vasistha,Gupta,Female
Shilpa,Gautam,Sharma,Female
Sonali,Kashyap,Malhotra,Female
Sujata,Kuru,Chopra,Female
Tara,Bharadwaja,Sharma,Female
Uma,Vasistha,Agarwal,Female
Vani,Gautam,Sharma,Female
Akshay,Kuru,Jain,Male
Ankit,Bharadwaja,Choudhary,Male
Dhruv,Vasistha,Shah,Male
Gopal,Angirasa,Chopra,Male
Kartik,Kashyap,Gupta,Male
Mayank,Gautam,Verma,Male
Nikhil,Kuru,Yadav,Male
Pranav,Bharadwaja,Mishra,Male
Rajat,Vasistha,Agarwal,Male
Saurabh,Gautam,Sharma,Male
Utkarsh,Kashyap,Chopra,Male
Vivek,Kuru,Sharma,Male
Aditi,Kuru,Patel,Female
Anushka,Bharadwaja,Mishra,Female
Divya,Vasistha,Choudhary,Female
Gauri,Angirasa,Sharma,Female
Isha,Kashyap,Verma,Female
Juhi,Gautam,Malhotra,Female
Kirti,Kuru,Chopra,Female
Megha,Bharadwaja,Sharma,Female
Neha,Vasistha,Agarwal,Female
Pooja,Gautam,Sharma,Female
Rashi,Kashyap,Malhotra,Female
Shweta,Kuru,Choudhary,Female
Tina,Bharadwaja,Sharma,Female
Varsha,Vasistha,Verma,Female
Yamini,Gautam,Mishra,Female
Zoya,Kashyap,Chopra,Female
Abhinav,Kuru,Sharma,Male
Ajay,Bharadwaja,Mal,Male
